Date,Time,93Hz,124Hz,155Hz,186Hz,217Hz,248Hz,279Hz,310Hz,341Hz,372Hz,403Hz,434Hz,465Hz,496Hz,527Hz,558Hz,589Hz,620Hz,651Hz,682Hz,713Hz,744Hz,775Hz,806Hz,837Hz,868Hz,899Hz,930Hz,961Hz,992Hz,1023Hz,1054Hz,1085Hz,1116Hz,1147Hz,1178Hz,1209Hz,1240Hz,1271Hz,1302Hz,1333Hz,1364Hz,1395Hz,1426Hz,1457Hz,1488Hz,1519Hz,1550Hz,1581Hz,1612Hz,1643Hz,1674Hz,1705Hz,1736Hz,1767Hz,1798Hz,1829Hz,1860Hz,1891Hz,1922Hz,1953Hz,1984Hz,
11/08/2020,21:25:01,4807,1967,560,144,272,246,64,28,28,47,30,43,6,20,18,7,17,8,14,18,15,4,17,6,8,8,5,9,8,9,4,10,8,7,4,7,2,5,4,3,7,3,3,5,3,3,4,3,1,5,5,2,5,1,2,5,4,4,2,4,3,4
11/08/2020,21:25:02,4687,1941,565,146,262,247,58,30,30,56,25,47,15,11,26,11,17,9,20,9,16,8,10,12,10,4,5,10,3,11,8,4,11,2,5,4,7,5,4,7,4,8,5,2,2,4,4,6,4,0,8,2,2,5,4,2,7,4,1,7,4,2
11/08/2020,21:25:04,4688,1953,574,135,270,233,72,17,15,38,41,37,15,18,12,2,11,5,10,24,9,8,12,3,5,5,3,3,8,3,4,4,7,1,4,1,4,1,4,3,4,5,2,4,4,1,5,4,4,3,1,3,4,3,4,7,2,7,1,5,1,4
11/08/2020,21:25:06,4704,1963,564,137,280,232,74,15,11,35,43,33,14,16,12,9,11,4,9,14,7,5,6,2,2,4,1,6,7,5,4,6,4,3,1,1,2,1,1,5,4,4,1,2,2,1,1,3,1,4,2,0,3,2,2,3,2,1,3,1,2,2
11/08/2020,21:25:07,4676,1897,588,168,264,246,65,29,24,30,45,30,16,27,2,16,12,12,11,17,12,14,5,16,5,5,10,8,9,10,3,14,2,8,5,5,4,7,4,8,4,7,8,4,7,5,4,5,3,9,5,6,6,3,5,6,6,8,4,6,6,8
11/08/2020,21:25:09,4725,1967,574,142,278,237,71,15,19,38,40,35,14,18,14,4,14,2,8,20,9,5,13,6,6,4,3,2,11,4,4,7,9,2,1,4,2,2,5,3,5,1,4,3,3,3,4,2,4,3,1,2,5,6,2,2,5,4,5,5,3,2
11/08/2020,21:25:10,4267,838,740,173,181,236,95,16,62,65,55,0,60,24,30,37,24,23,18,40,18,26,22,19,24,16,21,21,24,11,18,21,12,16,15,15,12,16,13,12,13,14,13,12,14,12,13,11,14,14,11,15,13,11,17,12,11,17,13,12,14,11
11/08/2020,21:25:12,4137,395,782,146,252,151,11,74,17,59,10,31,34,8,20,24,16,13,14,25,13,10,18,11,10,15,8,13,15,5,11,12,5,7,10,11,8,7,11,7,9,10,10,5,7,8,9,7,7,10,5,9,5,9,8,8,10,9,5,11,5,12
11/08/2020,21:25:13,4178,342,798,151,253,155,14,74,11,63,17,17,35,18,7,28,6,15,23,8,19,14,4,14,15,7,14,11,10,14,7,7,13,10,6,8,8,11,6,8,10,7,10,9,5,6,6,6,9,7,7,7,8,9,8,7,10,9,7,10,6,10
11/08/2020,21:25:15,4919,1951,612,183,244,277,46,46,47,50,52,24,39,28,12,28,27,20,7,33,10,14,24,10,13,15,12,17,8,17,9,8,14,10,8,11,12,7,10,8,9,10,8,5,8,8,8,8,7,9,7,10,8,7,5,8,8,7,7,9,8,8
